Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 VMI,65,97,67,102,65,2
 CHSO,55,72,56,78,45,6
 BRY,69,90,72,95,41,4
 PRE,68,82,68,86,41,0
 ARIZ,76,84,84,90,70,15
 UNI,56,58,64,60,35,2
 TENN,61,55,67,58,50,10
 PSU,69,75,78,85,60,12
 SCST,67,101,71,103,29,1
 UMKC,65,80,69,88,38,6
 UNCG,72,62,81,76,41,18
 RMU,62,73,69,81,63,16
 JAC,59,108,64,116,31,6
 CLEM,73,60,78,62,30,0
 ND,84,58,88,58,40,3
 DUKE,78,85,85,96,48,11
