Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CSF,41,81,42,84,54,8
 NDSU,60,70,65,75,40,5
 VAN,80,85,89,93,44,5
 LEH,60,82,63,88,25,4
 TAMU,71,54,75,59,28,2
 SMU,67,51,72,55,38,4
 OKLA,79,71,85,83,30,13
 SCU,57,77,59,82,35,4
 UCSB,78,98,87,98,30,6
 PRIN,95,91,103,93,48,6
 AKR,53,77,53,84,46,2
 MTU,76,82,84,89,47,4
 NMSU,70,68,72,77,22,2
 WASH,83,75,88,81,32,5
 WSU,68,85,71,89,37,0
 CAL,55,78,62,80,33,2
 STAN,72,72,74,76,21,0
