Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 ETSU,58,79,63,81,45,2
 WIL,63,93,65,93,39,0
 JMU,75,82,78,87,76,10
 IONA,68,77,72,85,37,5
 UVM,64,62,66,64,21,2
 MEM,73,65,76,74,42,10
 BEREA,31,108,33,112,35,1
 MORE,47,86,49,86,40,0
 ETSU,81,65,84,71,36,5
 EKY,56,85,63,91,22,0
 UMBC,74,72,76,75,36,2
 TAMU,56,52,64,58,35,8
 IUPU,57,74,59,77,25,4
 UIC,47,82,51,86,44,4
 OAK,74,77,83,87,49,8
 DET,52,53,54,56,25,4
