Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 NAU,67,99,67,101,62,0
 UMBC,73,98,78,103,30,2
 CSB,55,91,59,91,57,4
 NCST,84,76,90,84,70,15
 SMU,62,57,66,60,38,4
 PUR,89,61,89,64,37,3
 LBSU,51,86,56,91,27,5
 UNLV,84,84,88,91,43,10
 TAMU,58,58,64,67,34,13
 ALA,77,79,82,88,63,10
 UNM,71,82,73,89,34,6
 NDSU,48,77,53,83,23,2
 CONN,56,69,58,73,30,2
 ASU,73,76,78,84,48,6
 UTAH,77,81,82,94,58,14
 COLO,70,63,80,77,34,8
