Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 HC,67,57,69,64,33,4
 BC,37,42,41,44,26,4
 SPU,62,57,70,61,46,8
 MAINE,64,65,68,69,42,5
 MITCH,55,82,60,84,32,4
 NW,77,46,81,50,42,4
 UML,62,75,80,87,48,23
 SJU,90,48,90,55,31,4
 DART,60,71,73,79,47,14
 LAF,41,53,50,62,38,10
 HART,76,66,86,72,33,6
 BING,48,48,51,48,21,1
 PROV,83,72,89,75,39,6
 SFNY,69,66,73,68,23,6
 FDU,63,61,65,66,40,0
 WAG,59,56,69,63,49,3
 BRY,73,71,79,74,32,6
