Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 IPFW,63,83,71,85,45,4
 UNO,65,83,68,87,31,4
 TOL,76,62,87,74,42,11
 SYR,74,47,74,50,29,4
 KU,98,56,102,59,30,0
 ORU,98,56,102,59,30,0
 TXSO,78,85,87,97,43,15
 WMU,69,74,73,78,24,2
 EMU,84,79,93,89,52,11
 CHS,47,75,50,82,51,4
 MSU,78,70,86,73,46,6
 TOWS,75,93,86,97,54,3
 EMU,70,77,81,86,33,8
 MILW,64,68,68,76,33,6
 GB,74,73,80,79,28,4
 NKU,77,74,87,83,49,8
 WRST,80,77,84,81,53,6
