Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 BUT,77,68,85,75,45,13
 BYU,59,54,65,56,39,2
 JOES,68,55,71,58,24,3
 LAF,43,59,46,60,24,3
 FDU,69,77,76,83,30,6
 LEH,75,70,85,76,45,12
 MIA,75,49,80,52,18,1
 GW,66,53,71,60,27,10
 MONM,58,61,58,69,32,2
 CP,61,58,69,58,32,2
 USC,91,95,93,103,48,6
 MTU,60,60,69,67,41,6
 AKR,56,57,62,64,28,2
 HAW,59,67,63,77,41,11
 PENN,68,65,76,70,38,7
