Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 WEBI,81,90,89,98,44,8
 FIU,60,61,64,70,53,8
 USF,74,72,75,72,26,2
 SIUE,75,74,80,76,67,14
 AVE,48,81,53,87,25,2
 USA,73,77,77,81,40,6
 NDSU,88,56,94,58,30,2
 GB,63,75,71,83,18,1
 CAM,76,65,85,78,39,10
 EAU,49,79,52,85,21,2
 DUQ,68,50,73,59,32,6
 MRST,68,75,76,79,37,4
 IPFW,83,78,88,84,50,5
 UCF,74,55,74,55,25,2
 NEB,63,52,71,62,46,6
 FLN,81,83,88,94,40,9
 FGCU,90,52,90,52,29,0
