Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CP,58,76,62,78,32,3
 PAC,80,85,80,89,60,6
 EWU,59,49,67,61,47,16
 NE,59,67,59,73,24,4
 UNC,90,68,96,72,43,4
 FLA,106,80,108,87,53,5
 OSU,67,58,79,71,55,20
 PRST,81,67,87,78,55,4
 MONT,54,60,54,70,50,8
 LBSU,68,63,78,66,26,6
 DEN,58,70,62,75,34,6
 SF,55,64,59,71,38,10
 KU,71,52,75,54,21,0
 CAL,67,70,77,74,53,6
 UCLA,99,98,99,107,67,4
 USC,72,72,76,74,21,0
