Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 LA,50,96,50,100,37,4
 BSU,48,54,58,56,28,2
 SC,76,51,80,56,43,3
 APP,70,68,76,72,52,16
 NMSU,66,57,72,63,41,11
 LAM,60,46,66,52,23,7
 NMSU,73,53,80,60,43,2
 UNM,63,76,76,88,62,15
 WSU,65,70,69,76,32,6
 IW,57,64,66,72,45,13
 HOW,52,67,56,69,35,0
 NDSU,58,49,63,51,40,7
 UNT,56,56,63,62,29,5
 RICE,56,73,62,80,26,5
 USM,79,65,85,75,23,2
 LT,88,80,97,88,54,6
