Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CONN,59,54,70,58,34,4
 COR,53,65,61,72,34,7
 UMBC,86,85,88,93,26,2
 BC,69,61,83,79,44,20
 CLMB,65,70,71,77,24,10
 ALBY,68,64,75,69,39,12
 BING,65,58,76,65,31,16
 MRST,71,70,78,76,36,6
 SYR,69,56,72,56,26,2
 NJIT,69,75,76,87,40,9
 PB,48,103,52,103,24,1
 HC,65,73,74,79,16,3
 AMER,60,65,63,72,35,7
 LAF,62,61,71,68,30,6
 NAVY,52,58,62,70,22,16
