Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 EAQ,60,101,65,104,45,0
 SUU,63,86,69,90,30,5
 UTEP,54,48,56,58,28,2
 ILST,62,77,64,82,49,2
 ISU,66,60,75,64,19,5
 LMU,44,63,48,68,31,7
 L-IL,53,84,53,87,16,0
 ORE,66,67,70,73,35,6
 PORT,54,77,54,77,20,1
 SAC,51,74,54,77,21,1
 GCU,72,79,80,85,56,10
 SMU,77,54,86,63,26,4
 CSU,69,88,71,93,35,2
 UNLV,68,78,74,83,41,9
 UNM,56,86,62,90,27,4
 WYO,73,76,79,78,59,8
 FRES,58,62,64,70,58,14
