Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 ALBY,59,58,69,67,33,13
 SYR,65,57,71,62,32,4
 WEB,65,78,72,80,14,0
 NKU,77,68,85,72,37,5
 CCAR,79,81,89,84,42,4
 OHIO,83,83,88,93,28,10
 FDU,68,71,75,82,39,14
 NJIT,66,68,70,74,40,6
 YALE,59,79,67,83,30,2
 SJU,65,54,69,59,37,6
 HC,59,74,68,82,16,5
 URI,71,66,80,74,48,14
 NIAG,84,88,93,98,56,10
 CAN,78,72,85,78,46,7
 SPU,58,59,69,73,36,4
 FAIR,65,80,65,84,34,2
