Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 NCCU,48,65,55,65,24,2
 JOES,80,76,86,82,39,7
 DSU,55,91,55,95,45,2
 IPFW,61,49,67,51,48,3
 UK,105,69,107,73,52,2
 TROY,81,62,87,66,39,2
 L-IL,79,58,85,61,35,4
 UWP,48,71,48,76,29,0
 DEP,60,51,65,55,42,6
 DART,55,73,60,76,31,6
 ILST,66,63,71,70,56,10
 NIU,62,55,69,63,41,6
 TRI,62,55,69,63,41,6
 WRST,58,57,65,61,31,12
 NKU,82,47,86,51,44,4
 IUPU,56,60,65,70,56,12
