Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 BYU,86,58,91,61,32,4
 UTAH,89,45,91,51,33,3
 USU,82,42,83,47,39,2
 KENT,77,61,80,67,34,3
 L-IL,77,61,80,67,34,3
 SELA,65,57,73,59,39,1
 SAM,82,68,83,70,27,2
 OKST,81,51,83,60,24,4
 DUQ,67,47,73,49,22,2
 AKR,77,56,81,61,41,3
 GCU,68,35,71,38,39,4
 UNLV,93,56,95,63,39,0
 UAB,70,57,74,57,21,2
 UAPB,70,57,74,57,21,2
 ALST,70,57,74,57,21,2
 AAMU,70,57,74,57,21,2
