Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UND,78,77,83,80,44,8
 UAPB,53,77,57,81,37,2
 HAW,67,64,72,67,43,10
 BP,66,100,71,106,41,2
 UK,70,59,70,62,39,3
 ETSU,51,66,65,73,33,11
 DSU,61,89,64,95,36,2
 UIC,62,81,66,87,39,2
 UAB,83,74,90,78,41,8
 USM,87,65,89,71,25,0
 ARK,82,58,88,63,44,4
 PEAY,68,65,75,73,39,13
 MLG,61,73,67,80,38,4
 GASO,73,66,86,80,49,16
 GAST,62,64,66,68,36,3
 UTA,64,62,68,66,36,3
 TXST,55,53,57,56,13,1
