Palestine,3,0,Pakistan,18/02/2006,Riffa,Friendly
New_Zealand,1,0,Malaysia,19/02/2006,Christchurch,Friendly
USA,4,0,Guatemala,19/02/2006,Frisco,Friendly
Bahrain,1,3,Australia,22/02/2006,Riffa,Continental_Qualifier
China_PR,2,0,Palestine,22/02/2006,Guangzhou,Continental_Qualifier
Hong_Kong,0,3,Qatar,22/02/2006,Hong_Kong,Continental_Qualifier
IR_Iran,4,0,Chinese_Taipei,22/02/2006,Tehran,Continental_Qualifier
Japan,6,0,India,22/02/2006,Yokohama,Continental_Qualifier
Jordan,3,0,Pakistan,22/02/2006,Amman,Continental_Qualifier
Lebanon,1,1,Kuwait,22/02/2006,Beirut,Continental_Qualifier
Singapore,2,0,Iraq,22/02/2006,Singapore,Continental_Qualifier
Syria,1,2,Korea_Republic,22/02/2006,Aleppo,Continental_Qualifier
United_Arab_Emirates,1,0,Oman,22/02/2006,Dubai,Continental_Qualifier
Uzbekistan,5,0,Bangladesh,22/02/2006,Tashkent,Continental_Qualifier
Yemen,0,4,Saudi_Arabia,22/02/2006,Sana'A,Continental_Qualifier
New_Zealand,2,1,Malaysia,23/02/2006,Auckland,Friendly
Guyana,2,1,Antigua_and_Barbuda,24/02/2006,Linden,Friendly
Malta,0,2,Moldova,25/02/2006,Ta'Qali,Friendly
Benin,0,1,Equatorial_Guinea,26/02/2006,Cotonou,Friendly
Guyana,4,1,Antigua_and_Barbuda,26/02/2006,Georgetown,Friendly
Moldova,5,1,Georgia,27/02/2006,Ta'Qali,Friendly
Algeria,0,0,Burkina_Faso,28/02/2006,Rouen,Friendly
Azerbaijan,0,0,Ukraine,28/02/2006,Baku,Friendly
Bosnia_and_Herzegovina,2,2,Japan,28/02/2006,Dortmund,Friendly
Cyprus,0,1,Slovenia,28/02/2006,Larnaca,Friendly
Finland,0,0,Kazakhstan,28/02/2006,Larnaca,Friendly,1,3,PSO
Greece,1,0,Belarus,28/02/2006,Limassol,Friendly
Iceland,0,2,Trinidad_and_Tobago,28/02/2006,London,Friendly
Romania,2,0,Armenia,28/02/2006,Nicosia,Friendly
Albania,1,2,Lithuania,01/03/2006,Tirana,Friendly
Austria,0,2,Canada,01/03/2006,Vienna,Friendly
