Competition Name,Sport Name,Event (Weight Category),Gender,Match Date,Athlete 1 Name,Athlete 1 Country,Result 1,Result Value 1,Athlete 2 Name,Athlete 2 Country,Result 2,Result Value 2
Masters of Curling,Curling,Team,Women,10/26/17,Rachel Homan,CAN,WON,6,Val Sweeting,CAN,LOST,3
Masters of Curling,Curling,Team,Women,10/26/17,Team Flaxey,CAN,LOST,5,Anna Sidorova,RUS,WON,8
Masters of Curling,Curling,Team,Women,10/26/17,Silvana Tirinzoni,SUI,LOST,5,Alina Paetz,SUI,WON,7
Masters of Curling,Curling,Team,Women,10/27/17,Jacqueline Harrison,CAN,WON,7,Sherry Middaugh,CAN,LOST,2
Masters of Curling,Curling,Team,Women,10/27/17,Michelle Englot,CAN,LOST,4,Val Sweeting,CAN,WON,8
Masters of Curling,Curling,Team,Women,10/27/17,Team Flaxey,CAN,LOST,3,Jamie Sinclair,USA,WON,4
Masters of Curling,Curling,Team,Women,10/27/17,Anna Hasselborg,SWE,WON,6,Anna Sidorova,RUS,LOST,5
Masters of Curling,Curling,Team,Women,10/27/17,Jennifer Jones,CAN,WON,8,Silvana Tirinzoni,SUI,LOST,4
Masters of Curling,Curling,Team,Women,10/27/17,Kerri Einarson,CAN,WON,6,Rachel Homan,CAN,LOST,1
Masters of Curling,Curling,Team,Women,10/27/17,Anna Sidorova,RUS,LOST,4,Jamie Sinclair,USA,WON,8
Masters of Curling,Curling,Team,Women,10/28/17,Jennifer Jones,CAN,WON,5,Jamie Sinclair,USA,LOST,4
Masters of Curling,Curling,Team,Women,10/28/17,Casey Scheidegger,CAN,LOST,1,Anna Hasselborg,SWE,WON,6
Masters of Curling,Curling,Team,Women,10/28/17,Kerri Einarson,CAN,WON,7,Silvana Tirinzoni,SUI,LOST,3
Masters of Curling,Curling,Team,Women,10/28/17,Eve Muirhead,SCO,WON,5,Alina Paetz,SUI,LOST,4
Masters of Curling,Curling,Team,Women,10/28/17,Jennifer Jones,CAN,WON,10,Anna Hasselborg,SWE,LOST,4
Masters of Curling,Curling,Team,Women,10/28/17,Kerri Einarson,CAN,WON,6,Eve Muirhead,SCO,LOST,3
Masters of Curling,Curling,Team,Women,10/29/17,Jennifer Jones,CAN,WON,6,Kerri Einarson,CAN,LOST,5
Boost National,Curling,Team,Men,11/14/17,Reid Carruthers,CAN,LOST,3,Chang-Min Kim,KOR,WON,7
Boost National,Curling,Team,Men,11/14/17,Jason Gunnlaugson,CAN,WON,6,Brad Jacobs,CAN,LOST,3
Boost National,Curling,Team,Men,11/14/17,John Epping,CAN,WON,5,Rui Liu,CHN,LOST,3
Boost National,Curling,Team,Men,11/14/17,Brad Gushue,CAN,WON,7,Mike McEwen,CAN,LOST,6
Boost National,Curling,Team,Men,11/14/17,Kevin Koe,CAN,WON,7,Greg Drummond,SCO,LOST,3
Boost National,Curling,Team,Men,11/15/17,Bruce Mouat,SCO,WON,8,Greg Balsdon,CAN,LOST,4
Boost National,Curling,Team,Men,11/15/17,Pat Simmons,CAN,LOST,1,Chang-Min Kim,KOR,WON,8
Boost National,Curling,Team,Men,11/15/17,William Lyburn,CAN,LOST,7,Jason Gunnlaugson,CAN,WON,8
Boost National,Curling,Team,Men,11/15/17,John Morris,CAN,LOST,1,Mike McEwen,CAN,WON,5
Boost National,Curling,Team,Men,11/15/17,Reid Carruthers,CAN,WON,6,Rui Liu,CHN,LOST,5
Boost National,Curling,Team,Men,11/15/17,John Epping,CAN,LOST,4,Pat Simmons,CAN,WON,7
Boost National,Curling,Team,Men,11/15/17,John Morris,CAN,LOST,4,Greg Balsdon,CAN,WON,6
Boost National,Curling,Team,Men,11/15/17,Brad Jacobs,CAN,WON,9,Greg Drummond,SCO,LOST,2
Boost National,Curling,Team,Men,11/15/17,Bruce Mouat,SCO,LOST,6,Brad Gushue,CAN,WON,7
Boost National,Curling,Team,Men,11/15/17,Kevin Koe,CAN,WON,6,William Lyburn,CAN,LOST,4
Boost National,Curling,Team,Men,11/16/17,Rui Liu,CHN,LOST,1,Chang-Min Kim,KOR,WON,9
Boost National,Curling,Team,Men,11/16/17,Bruce Mouat,SCO,WON,8,John Morris,CAN,LOST,2
Boost National,Curling,Team,Men,11/16/17,Reid Carruthers,CAN,WON,9,John Epping,CAN,LOST,6
Boost National,Curling,Team,Men,11/16/17,Kevin Koe,CAN,LOST,6,Jason Gunnlaugson,CAN,WON,8
Boost National,Curling,Team,Men,11/16/17,Bruce Mouat,SCO,LOST,2,Mike McEwen,CAN,WON,7
Boost National,Curling,Team,Men,11/16/17,Brad Gushue,CAN,WON,7,Greg Balsdon,CAN,LOST,6
Boost National,Curling,Team,Men,11/16/17,Brad Jacobs,CAN,LOST,4,Kevin Koe,CAN,WON,6
Boost National,Curling,Team,Men,11/16/17,Rui Liu,CHN,LOST,5,Pat Simmons,CAN,WON,7
Boost National,Curling,Team,Men,11/16/17,William Lyburn,CAN,WON,8,Greg Drummond,SCO,LOST,7
Boost National,Curling,Team,Men,11/17/17,John Epping,CAN,WON,4,Chang-Min Kim,KOR,LOST,1
Boost National,Curling,Team,Men,11/17/17,Brad Jacobs,CAN,WON,7,William Lyburn,CAN,LOST,2
Boost National,Curling,Team,Men,11/17/17,Reid Carruthers,CAN,WON,6,Pat Simmons,CAN,LOST,5
Boost National,Curling,Team,Men,11/17/17,Brad Gushue,CAN,LOST,2,John Morris,CAN,WON,5
Boost National,Curling,Team,Men,11/17/17,Greg Balsdon,CAN,WON,5,Mike McEwen,CAN,LOST,2
Boost National,Curling,Team,Men,11/17/17,Jason Gunnlaugson,CAN,WON,10,Greg Drummond,SCO,LOST,7
Boost National,Curling,Team,Men,11/17/17,Bruce Mouat,SCO,WON,8,Brad Jacobs,CAN,LOST,5
Boost National,Curling,Team,Men,11/17/17,Pat Simmons,CAN,LOST,5,John Epping,CAN,WON,7
Boost National,Curling,Team,Men,11/17/17,Mike McEwen,CAN,WON,9,Greg Balsdon,CAN,LOST,2
Boost National,Curling,Team,Men,11/18/17,Jason Gunnlaugson,CAN,LOST,3,John Epping,CAN,WON,7
Boost National,Curling,Team,Men,11/18/17,Chang-Min Kim,KOR,WON,6,Reid Carruthers,CAN,LOST,2
Boost National,Curling,Team,Men,11/18/17,Brad Gushue,CAN,LOST,3,Mike McEwen,CAN,WON,4
Boost National,Curling,Team,Men,11/18/17,Kevin Koe,CAN,LOST,1,Bruce Mouat,SCO,WON,7
Boost National,Curling,Team,Men,11/18/17,John Epping,CAN,LOST,7,Chang-Min Kim,KOR,WON,8
Boost National,Curling,Team,Men,11/18/17,Mike McEwen,CAN,LOST,4,Bruce Mouat,SCO,WON,6
Boost National,Curling,Team,Men,11/19/17,Chang-Min Kim,KOR,LOST,4,Bruce Mouat,SCO,WON,9
Boost National,Curling,Team,Women,11/14/17,Val Sweeting,CAN,WON,9,Binia Feltscher,SUI,LOST,5
