Competition Name,Sport Name,Event (Weight Category),Gender,Match Date,Athlete 1 Name,Athlete 1 Country,Result 1,Result Value 1,Athlete 2 Name,Athlete 2 Country,Result 2,Result Value 2
Meridian Canadian Open,Curling,Team,Women,1/19/18,Chelsea Carey,CAN,WON,8,Michelle Englot,CAN,LOST,1
Meridian Canadian Open,Curling,Team,Women,1/19/18,Casey Scheidegger,CAN,LOST,4,Nina Roth,USA,WON,7
Meridian Canadian Open,Curling,Team,Women,1/19/18,EunJung Kim,KOR,WON,8,Darcy Robertson,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/19/18,Silvana Tirinzoni,SUI,WON,7,Jamie Sinclair,USA,LOST,3
Meridian Canadian Open,Curling,Team,Women,1/19/18,Nina Roth,USA,LOST,4,Michelle Englot,CAN,WON,6
Meridian Canadian Open,Curling,Team,Women,1/19/18,EunJung Kim,KOR,WON,6,Kerri Einarson,CAN,LOST,3
Meridian Canadian Open,Curling,Team,Women,1/19/18,Silvana Tirinzoni,SUI,WON,5,Anna Hasselborg,SWE,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/20/18,Rachel Homan,CAN,LOST,4,EunJung Kim,KOR,WON,7
Meridian Canadian Open,Curling,Team,Women,1/20/18,Chelsea Carey,CAN,WON,8,Team Rocque,CAN,LOST,5
Meridian Canadian Open,Curling,Team,Women,1/20/18,Allison Flaxey,CAN,LOST,5,Michelle Englot,CAN,WON,6
Meridian Canadian Open,Curling,Team,Women,1/20/18,Jennifer Jones,CAN,WON,6,Silvana Tirinzoni,SUI,LOST,3
Meridian Canadian Open,Curling,Team,Women,1/20/18,EunJung Kim,KOR,LOST,4,Chelsea Carey,CAN,WON,6
Meridian Canadian Open,Curling,Team,Women,1/20/18,Michelle Englot,CAN,WON,10,Jennifer Jones,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Women,1/21/18,Chelsea Carey,CAN,WON,10,Michelle Englot,CAN,LOST,5
Princess Auto Elite 10,Curling,Team,Men,3/15/18,John Epping,CAN,WON,4,Niklas Edin,SWE,LOST,1
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Jason Gunnlaugson,CAN,LOST,1,John Shuster,USA,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Reid Carruthers,CAN,WON,4,Glenn Howard,CAN,LOST,3
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Glenn Howard,CAN,WON,3,Brad Gushue,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Kevin Koe,CAN,LOST,1,Mike McEwen,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Men,3/15/18,John Shuster,USA,LOST,1,Brad Jacobs,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Mike McEwen,CAN,WON,5,Jason Gunnlaugson,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Men,3/15/18,John Epping,CAN,WON,4,Reid Carruthers,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Men,3/15/18,Niklas Edin,SWE,LOST,3,Brad Gushue,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Niklas Edin,SWE,WON,4,Glenn Howard,CAN,LOST,3
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Mike McEwen,CAN,WON,3,Brad Jacobs,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Jason Gunnlaugson,CAN,LOST,2,Kevin Koe,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Kevin Koe,CAN,WON,4,Brad Jacobs,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Brad Gushue,CAN,WON,4,John Epping,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/16/18,John Shuster,USA,LOST,1,Mike McEwen,CAN,WON,5
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Reid Carruthers,CAN,LOST,3,Niklas Edin,SWE,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Glenn Howard,CAN,WON,3,John Epping,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Brad Gushue,CAN,WON,3,Reid Carruthers,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Men,3/16/18,John Shuster,USA,LOST,1,Kevin Koe,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/16/18,Brad Jacobs,CAN,WON,2,Jason Gunnlaugson,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Men,3/17/18,Niklas Edin,SWE,LOST,0,John Epping,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,3/17/18,Glenn Howard,CAN,WON,3,Brad Jacobs,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Men,3/17/18,Brad Gushue,CAN,WON,4,John Epping,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,3/17/18,Mike McEwen,CAN,WON,4,Glenn Howard,CAN,LOST,3
Princess Auto Elite 10,Curling,Team,Men,3/17/18,Kevin Koe,CAN,LOST,1,Brad Gushue,CAN,WON,2
Princess Auto Elite 10,Curling,Team,Men,3/18/18,Mike McEwen,CAN,WON,4,Brad Gushue,CAN,LOST,1
Players' Championship,Curling,Team,Men,4/10/18,Reid Carruthers,CAN,LOST,5,John Epping,CAN,WON,6
Players' Championship,Curling,Team,Men,4/10/18,Brad Jacobs,CAN,LOST,5,Jason Gunnlaugson,CAN,WON,7
Players' Championship,Curling,Team,Men,4/11/18,Mike McEwen,CAN,LOST,3,Bruce Mouat,SCO,WON,6
Players' Championship,Curling,Team,Men,4/11/18,Brad Gushue,CAN,WON,8,Brendan Bottcher,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/11/18,Brad Jacobs,CAN,WON,7,Kyle Smith,SCO,LOST,4
Players' Championship,Curling,Team,Men,4/11/18,Kevin Koe,CAN,WON,7,John Epping,CAN,LOST,3
Players' Championship,Curling,Team,Men,4/11/18,Niklas Edin,SWE,WON,6,Jason Gunnlaugson,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/11/18,John Epping,CAN,LOST,1,Brendan Bottcher,CAN,WON,7
Players' Championship,Curling,Team,Men,4/11/18,Mike McEwen,CAN,LOST,6,Niklas Edin,SWE,WON,9
Players' Championship,Curling,Team,Men,4/11/18,Reid Carruthers,CAN,LOST,5,John Shuster,USA,WON,8
Players' Championship,Curling,Team,Men,4/11/18,Kyle Smith,SCO,WON,8,Bruce Mouat,SCO,LOST,3
Players' Championship,Curling,Team,Men,4/11/18,Brad Gushue,CAN,LOST,8,Kevin Koe,CAN,WON,10
Players' Championship,Curling,Team,Men,4/12/18,Niklas Edin,SWE,LOST,5,Kyle Smith,SCO,WON,7
Players' Championship,Curling,Team,Men,4/12/18,Brad Jacobs,CAN,LOST,1,Bruce Mouat,SCO,WON,6
Players' Championship,Curling,Team,Men,4/12/18,Mike McEwen,CAN,WON,8,Jason Gunnlaugson,CAN,LOST,3
Players' Championship,Curling,Team,Men,4/12/18,Brad Gushue,CAN,WON,7,John Shuster,USA,LOST,2
Players' Championship,Curling,Team,Men,4/12/18,Jason Gunnlaugson,CAN,WON,8,Bruce Mouat,SCO,LOST,4
Players' Championship,Curling,Team,Men,4/12/18,John Shuster,USA,LOST,5,Kevin Koe,CAN,WON,8
Players' Championship,Curling,Team,Men,4/12/18,Brad Gushue,CAN,WON,5,John Epping,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/12/18,Reid Carruthers,CAN,WON,9,Brendan Bottcher,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/12/18,Brad Jacobs,CAN,LOST,2,Mike McEwen,CAN,WON,5
Players' Championship,Curling,Team,Men,4/13/18,Niklas Edin,SWE,WON,6,Bruce Mouat,SCO,LOST,3
Players' Championship,Curling,Team,Men,4/13/18,Kyle Smith,SCO,LOST,3,Jason Gunnlaugson,CAN,WON,5
Players' Championship,Curling,Team,Men,4/13/18,Reid Carruthers,CAN,LOST,5,Kevin Koe,CAN,WON,6
Players' Championship,Curling,Team,Men,4/13/18,John Shuster,USA,WON,9,Brendan Bottcher,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/13/18,Brad Gushue,CAN,WON,7,Reid Carruthers,CAN,LOST,6
Players' Championship,Curling,Team,Men,4/13/18,Brad Jacobs,CAN,LOST,4,Niklas Edin,SWE,WON,5
Players' Championship,Curling,Team,Men,4/13/18,Kevin Koe,CAN,WON,6,Brendan Bottcher,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/13/18,John Epping,CAN,WON,8,John Shuster,USA,LOST,2
Players' Championship,Curling,Team,Men,4/13/18,Mike McEwen,CAN,WON,7,Kyle Smith,SCO,LOST,4
Players' Championship,Curling,Team,Men,4/13/18,John Epping,CAN,WON,6,John Shuster,USA,LOST,3
Players' Championship,Curling,Team,Men,4/14/18,Kevin Koe,CAN,WON,5,John Epping,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/14/18,Jason Gunnlaugson,CAN,LOST,3,Mike McEwen,CAN,WON,9
Players' Championship,Curling,Team,Men,4/14/18,Niklas Edin,SWE,WON,6,Kyle Smith,SCO,LOST,3
Players' Championship,Curling,Team,Men,4/14/18,Brad Gushue,CAN,WON,6,Bruce Mouat,SCO,LOST,2
Players' Championship,Curling,Team,Men,4/14/18,Kevin Koe,CAN,WON,5,Mike McEwen,CAN,LOST,4
Players' Championship,Curling,Team,Men,4/14/18,Niklas Edin,SWE,WON,6,Brad Gushue,CAN,LOST,5
Players' Championship,Curling,Team,Men,4/15/18,Kevin Koe,CAN,WON,6,Niklas Edin,SWE,LOST,2
Players' Championship,Curling,Team,Women,4/10/18,Rachel Homan,CAN,LOST,4,Nina Roth,USA,WON,6
Players' Championship,Curling,Team,Women,4/10/18,Jennifer Jones,CAN,WON,5,Eve Muirhead,SCO,LOST,4
Players' Championship,Curling,Team,Women,4/11/18,Satsuki Fujisawa,JPN,LOST,1,Jamie Sinclair,USA,WON,7
Players' Championship,Curling,Team,Women,4/11/18,EunJung Kim,KOR,LOST,8,Laura Crocker,CAN,WON,10
Players' Championship,Curling,Team,Women,4/11/18,Chelsea Carey,CAN,LOST,7,Silvana Tirinzoni,SUI,WON,8
Players' Championship,Curling,Team,Women,4/11/18,Anna Hasselborg,SWE,WON,6,Kerri Einarson,CAN,LOST,1
Players' Championship,Curling,Team,Women,4/11/18,Jennifer Jones,CAN,WON,9,Nina Roth,USA,LOST,2
Players' Championship,Curling,Team,Women,4/11/18,Chelsea Carey,CAN,WON,10,Satsuki Fujisawa,JPN,LOST,2
Players' Championship,Curling,Team,Women,4/11/18,Silvana Tirinzoni,SUI,LOST,5,Jamie Sinclair,USA,WON,6
Players' Championship,Curling,Team,Women,4/11/18,Eve Muirhead,SCO,WON,7,EunJung Kim,KOR,LOST,4
Players' Championship,Curling,Team,Women,4/11/18,Rachel Homan,CAN,LOST,3,Laura Crocker,CAN,WON,9
Players' Championship,Curling,Team,Women,4/12/18,Rachel Homan,CAN,LOST,5,EunJung Kim,KOR,WON,6
Players' Championship,Curling,Team,Women,4/12/18,Jennifer Jones,CAN,WON,8,Team Rocque,CAN,LOST,7
Players' Championship,Curling,Team,Women,4/12/18,Eve Muirhead,SCO,WON,6,Nina Roth,USA,LOST,4
Players' Championship,Curling,Team,Women,4/12/18,Kerri Einarson,CAN,LOST,3,Satsuki Fujisawa,JPN,WON,5
Players' Championship,Curling,Team,Women,4/12/18,Anna Hasselborg,SWE,WON,7,Jamie Sinclair,USA,LOST,4
Players' Championship,Curling,Team,Women,4/12/18,Eve Muirhead,SCO,WON,8,Team Rocque,CAN,LOST,4
Players' Championship,Curling,Team,Women,4/12/18,Anna Hasselborg,SWE,WON,6,Silvana Tirinzoni,SUI,LOST,2
Players' Championship,Curling,Team,Women,4/12/18,Jennifer Jones,CAN,WON,8,Rachel Homan,CAN,LOST,4
Players' Championship,Curling,Team,Women,4/12/18,Nina Roth,USA,WON,6,EunJung Kim,KOR,LOST,3
Players' Championship,Curling,Team,Women,4/12/18,Chelsea Carey,CAN,LOST,4,Kerri Einarson,CAN,WON,7
Players' Championship,Curling,Team,Women,4/13/18,Chelsea Carey,CAN,LOST,3,Jamie Sinclair,USA,WON,7
Players' Championship,Curling,Team,Women,4/13/18,Jennifer Jones,CAN,WON,8,EunJung Kim,KOR,LOST,2
Players' Championship,Curling,Team,Women,4/13/18,Kerri Einarson,CAN,WON,7,Silvana Tirinzoni,SUI,LOST,3
Players' Championship,Curling,Team,Women,4/13/18,Team Rocque,CAN,LOST,5,Nina Roth,USA,WON,7
Players' Championship,Curling,Team,Women,4/13/18,Anna Hasselborg,SWE,LOST,4,Satsuki Fujisawa,JPN,WON,7
Players' Championship,Curling,Team,Women,4/13/18,Silvana Tirinzoni,SUI,WON,8,Satsuki Fujisawa,JPN,LOST,2
Players' Championship,Curling,Team,Women,4/13/18,Jamie Sinclair,USA,LOST,6,Kerri Einarson,CAN,WON,7
Players' Championship,Curling,Team,Women,4/13/18,Anna Hasselborg,SWE,WON,7,Chelsea Carey,CAN,LOST,3
Players' Championship,Curling,Team,Women,4/13/18,Rachel Homan,CAN,LOST,3,Eve Muirhead,SCO,WON,8
Players' Championship,Curling,Team,Women,4/14/18,Team Rocque,CAN,LOST,3,Satsuki Fujisawa,JPN,WON,8
Players' Championship,Curling,Team,Women,4/14/18,Jennifer Jones,CAN,WON,4,Satsuki Fujisawa,JPN,LOST,2
Players' Championship,Curling,Team,Women,4/14/18,Kerri Einarson,CAN,WON,9,Nina Roth,USA,LOST,8
Players' Championship,Curling,Team,Women,4/14/18,Eve Muirhead,SCO,LOST,5,Silvana Tirinzoni,SUI,WON,8
Players' Championship,Curling,Team,Women,4/14/18,Anna Hasselborg,SWE,LOST,3,Jamie Sinclair,USA,WON,5
Players' Championship,Curling,Team,Women,4/14/18,Jennifer Jones,CAN,WON,7,Kerri Einarson,CAN,LOST,5
Players' Championship,Curling,Team,Women,4/14/18,Silvana Tirinzoni,SUI,LOST,3,Jamie Sinclair,USA,WON,4
Players' Championship,Curling,Team,Women,4/15/18,Jennifer Jones,CAN,LOST,2,Jamie Sinclair,USA,WON,7
Humpty's Champions Cup,Curling,Team,Men,4/24/18,Colton Flasch,CAN,WON,7,Marc Pfister,SUI,LOST,4
Humpty's Champions Cup,Curling,Team,Men,4/24/18,Kevin Koe,CAN,LOST,3,Jason Gunnlaugson,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Brad Jacobs,CAN,LOST,3,Team Persinger,WA,WON,5
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Niklas Edin,SWE,WON,5,Marc Pfister,SUI,LOST,4
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Jason Gunnlaugson,CAN,WON,8,Kurt Balderston,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Bruce Mouat,SCO,WON,9,Brendan Bottcher,CAN,LOST,8
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Brad Gushue,CAN,WON,8,Tyler Tardi,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Mike McEwen,CAN,LOST,4,Glenn Howard,CAN,WON,10
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Brad Jacobs,CAN,WON,10,Reid Carruthers,CAN,LOST,5
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Kevin Koe,CAN,WON,6,Kurt Balderston,CAN,LOST,5
Humpty's Champions Cup,Curling,Team,Men,4/25/18,Bruce Mouat,SCO,WON,7,Colton Flasch,CAN,LOST,1
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Team Persinger,WA,LOST,4,Tyler Tardi,CAN,WON,5
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Brendan Bottcher,CAN,WON,8,Marc Pfister,SUI,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Kurt Balderston,CAN,LOST,3,Mike McEwen,CAN,WON,8
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Reid Carruthers,CAN,LOST,2,Team Persinger,WA,WON,7
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Colton Flasch,CAN,LOST,5,Brendan Bottcher,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Brad Gushue,CAN,WON,5,Brad Jacobs,CAN,LOST,4
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Niklas Edin,SWE,LOST,7,Bruce Mouat,SCO,WON,10
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Kevin Koe,CAN,WON,5,Glenn Howard,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Men,4/26/18,Jason Gunnlaugson,CAN,LOST,3,Mike McEwen,CAN,WON,5
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Glenn Howard,CAN,WON,6,Kurt Balderston,CAN,LOST,5
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Niklas Edin,SWE,LOST,3,Colton Flasch,CAN,WON,5
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Bruce Mouat,SCO,WON,6,Marc Pfister,SUI,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Reid Carruthers,CAN,WON,8,Tyler Tardi,CAN,LOST,4
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Brad Gushue,CAN,WON,7,Team Persinger,WA,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Niklas Edin,SWE,LOST,5,Brendan Bottcher,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Jason Gunnlaugson,CAN,LOST,5,Glenn Howard,CAN,WON,7
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Brad Gushue,CAN,WON,7,Reid Carruthers,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Kevin Koe,CAN,WON,5,Mike McEwen,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/27/18,Tyler Tardi,CAN,LOST,0,Brad Jacobs,CAN,WON,9
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Brad Jacobs,CAN,LOST,3,Jason Gunnlaugson,CAN,WON,4
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Colton Flasch,CAN,LOST,3,Mike McEwen,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Brad Gushue,CAN,WON,4,Jason Gunnlaugson,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Kevin Koe,CAN,WON,5,Brendan Bottcher,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Bruce Mouat,SCO,WON,7,Mike McEwen,CAN,LOST,6
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Glenn Howard,CAN,WON,7,Team Persinger,WA,LOST,6
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Brad Gushue,CAN,WON,7,Kevin Koe,CAN,LOST,5
Humpty's Champions Cup,Curling,Team,Men,4/28/18,Bruce Mouat,SCO,LOST,5,Glenn Howard,CAN,WON,9
Humpty's Champions Cup,Curling,Team,Men,4/29/18,Brad Gushue,CAN,WON,8,Glenn Howard,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/24/18,Anna Hasselborg,SWE,LOST,3,Jamie Sinclair,USA,WON,4
Humpty's Champions Cup,Curling,Team,Women,4/24/18,Chelsea Carey,CAN,WON,7,Team Fujisawa,JPN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/24/18,Eve Muirhead,SCO,WON,8,Delia DeJong,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Kerri Einarson,CAN,WON,7,Val Sweeting,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Binia Feltscher,SUI,WON,6,Kristen MacDiarmid,CAN,LOST,4
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Silvana Tirinzoni,SUI,WON,6,Kaitlyn Jones,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Alina Paetz,SUI,LOST,5,Delia DeJong,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Eve Muirhead,SCO,WON,8,Team Fujisawa,JPN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Rachel Homan,CAN,LOST,4,Jamie Sinclair,USA,WON,5
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Jennifer Jones,CAN,WON,8,Val Sweeting,CAN,LOST,1
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Chelsea Carey,CAN,LOST,2,Alina Paetz,SUI,WON,8
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Kerri Einarson,CAN,WON,9,Kaitlyn Jones,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Women,4/25/18,Anna Hasselborg,SWE,WON,6,Binia Feltscher,SUI,LOST,4
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Jamie Sinclair,USA,WON,3,Kristen MacDiarmid,CAN,LOST,1
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Rachel Homan,CAN,WON,5,Binia Feltscher,SUI,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Jennifer Jones,CAN,LOST,2,Silvana Tirinzoni,SUI,WON,7
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Val Sweeting,CAN,WON,7,Kaitlyn Jones,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Team Fujisawa,JPN,LOST,4,Delia DeJong,CAN,WON,7
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Chelsea Carey,CAN,WON,8,Delia DeJong,CAN,LOST,7
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Anna Hasselborg,SWE,WON,6,Rachel Homan,CAN,LOST,2
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Alina Paetz,SUI,LOST,3,Eve Muirhead,SCO,WON,8
Humpty's Champions Cup,Curling,Team,Women,4/26/18,Kerri Einarson,CAN,LOST,4,Silvana Tirinzoni,SUI,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Jennifer Jones,CAN,WON,8,Kaitlyn Jones,CAN,LOST,7
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Anna Hasselborg,SWE,WON,7,Kristen MacDiarmid,CAN,LOST,5
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Jamie Sinclair,USA,WON,10,Binia Feltscher,SUI,LOST,5
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Team Fujisawa,JPN,LOST,5,Alina Paetz,SUI,WON,7
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Silvana Tirinzoni,SUI,LOST,5,Val Sweeting,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Jennifer Jones,CAN,LOST,4,Kerri Einarson,CAN,WON,7
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Chelsea Carey,CAN,WON,7,Eve Muirhead,SCO,LOST,6
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Rachel Homan,CAN,WON,6,Kristen MacDiarmid,CAN,LOST,4
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Delia DeJong,CAN,LOST,3,Val Sweeting,CAN,WON,4
Humpty's Champions Cup,Curling,Team,Women,4/27/18,Rachel Homan,CAN,WON,8,Alina Paetz,SUI,LOST,7
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Jennifer Jones,CAN,WON,10,Val Sweeting,CAN,LOST,4
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Jamie Sinclair,USA,LOST,3,Rachel Homan,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Anna Hasselborg,SWE,LOST,3,Eve Muirhead,SCO,WON,4
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Silvana Tirinzoni,SUI,LOST,5,Jennifer Jones,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Kerri Einarson,CAN,WON,5,Chelsea Carey,CAN,LOST,3
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Rachel Homan,CAN,WON,9,Eve Muirhead,SCO,LOST,6
Humpty's Champions Cup,Curling,Team,Women,4/28/18,Jennifer Jones,CAN,LOST,4,Kerri Einarson,CAN,WON,6
Humpty's Champions Cup,Curling,Team,Women,4/29/18,Rachel Homan,CAN,WON,7,Kerri Einarson,CAN,LOST,6
