Team,Team Member,Competition,Country,Year
Kaitlyn Jones,Lauren Lenentine,Humpty's Champions Cup,CAN,2017
Kaitlyn Jones,Lindsey Burgess,Humpty's Champions Cup,CAN,2017
Kristen MacDiarmid,Kristen MacDiarmid (Skip),Humpty's Champions Cup,CAN,2017
Kristen MacDiarmid,Marie Christianson,Humpty's Champions Cup,CAN,2017
Kristen MacDiarmid,Liz Woodworth,Humpty's Champions Cup,CAN,2017
Kristen MacDiarmid,Julia Colter,Humpty's Champions Cup,CAN,2017
Silvana Tirinzoni,Silvana Tirinzoni (Skip),Humpty's Champions Cup,SUI,2017
Silvana Tirinzoni,Esther Neuenschwander,Humpty's Champions Cup,SUI,2017
Silvana Tirinzoni,Manuela Siegrist,Humpty's Champions Cup,SUI,2017
Silvana Tirinzoni,Marlene Albrecht,Humpty's Champions Cup,SUI,2017
Jamie Sinclair,Jamie Sinclair (Skip),Humpty's Champions Cup,USA,2017
Jamie Sinclair,Alexandra Carlson,Humpty's Champions Cup,USA,2017
Jamie Sinclair,Vicky Persinger,Humpty's Champions Cup,USA,2017
Jamie Sinclair,Monica Walker,Humpty's Champions Cup,USA,2017
Anna Hasselborg,Anna Hasselborg (Skip),Humpty's Champions Cup,SWE,2017
Anna Hasselborg,Sara McManus,Humpty's Champions Cup,SWE,2017
Anna Hasselborg,Agnes Knochenhauer,Humpty's Champions Cup,SWE,2017
Anna Hasselborg,Sofia Mabergs,Humpty's Champions Cup,SWE,2017
Chelsea Carey,Chelsea Carey (Skip),Humpty's Champions Cup,CAN,2017
Chelsea Carey,Cathy Overton-Clapham,Humpty's Champions Cup,CAN,2017
Chelsea Carey,Jocelyn Peterman,Humpty's Champions Cup,CAN,2017
Chelsea Carey,Laine Peters,Humpty's Champions Cup,CAN,2017
Delia DeJong,Janais DeJong (Skip),Humpty's Champions Cup,CAN,2017
Delia DeJong,Delia DeJong (Skip),Humpty's Champions Cup,CAN,2017
Delia DeJong,Kayla Skrlik,Humpty's Champions Cup,CAN,2017
Delia DeJong,Amy Janko,Humpty's Champions Cup,CAN,2017
Eve Muirhead,Eve Muirhead (Skip),Humpty's Champions Cup,SCO,2017
Eve Muirhead,Anna Sloan,Humpty's Champions Cup,SCO,2017
Eve Muirhead,Vicki Adams,Humpty's Champions Cup,SCO,2017
Eve Muirhead,Lauren Gray,Humpty's Champions Cup,SCO,2017
Val Sweeting,Val Sweeting (Skip),Humpty's Champions Cup,CAN,2017
Val Sweeting,Lori Olson-Johns,Humpty's Champions Cup,CAN,2017
Val Sweeting,Dana Ferguson,Humpty's Champions Cup,CAN,2017
Val Sweeting,Rachel Brown,Humpty's Champions Cup,CAN,2017
Binia Feltscher,Binia Feltscher (Skip),Humpty's Champions Cup,SUI,2017
Binia Feltscher,Carole Howald,Humpty's Champions Cup,SUI,2017
Binia Feltscher,Franziska Kaufmann,Humpty's Champions Cup,SUI,2017
Binia Feltscher,Larissa Hari,Humpty's Champions Cup,SUI,2017
Alina Paetz,Alina Paetz (Skip),Humpty's Champions Cup,SUI,2017
Alina Paetz,Nadine Lehmann,Humpty's Champions Cup,SUI,2017
Alina Paetz,Marisa Winkelhausen,Humpty's Champions Cup,SUI,2017
Alina Paetz,Nicole Schwaegli,Humpty's Champions Cup,SUI,2017
Kerri Einarson,Kerri Einarson (Skip),Humpty's Champions Cup,CAN,2017
Kerri Einarson,Selena Njegovan,Humpty's Champions Cup,CAN,2017
Kerri Einarson,Liz Fyfe,Humpty's Champions Cup,CAN,2017
Kerri Einarson,Kristin MacCuish,Humpty's Champions Cup,CAN,2017
Colton Flasch,Colton Flasch (Skip),Humpty's Champions Cup,CAN,2017
Colton Flasch,Kevin Marsh,Humpty's Champions Cup,CAN,2017
Colton Flasch,Daniel Marsh,Humpty's Champions Cup,CAN,2017
Colton Flasch,Dallan Muyres,Humpty's Champions Cup,CAN,2017
Brad Jacobs,Brad Jacobs (Skip),Humpty's Champions Cup,CAN,2017
Brad Jacobs,Ryan Fry,Humpty's Champions Cup,CAN,2017
Brad Jacobs,E.J. Harnden,Humpty's Champions Cup,CAN,2017
Brad Jacobs,Ryan Harnden,Humpty's Champions Cup,CAN,2017
Bruce Mouat,Bruce Mouat (Skip),Humpty's Champions Cup,SCO,2017
Bruce Mouat,Grant Hardie,Humpty's Champions Cup,SCO,2017
Bruce Mouat,Bobby Lammie,Humpty's Champions Cup,SCO,2017
Bruce Mouat,Hammy McMillan Jr.,Humpty's Champions Cup,SCO,2017
Brendan Bottcher,Brendan Bottcher (Skip),Humpty's Champions Cup,CAN,2017
Brendan Bottcher,Darren Moulding,Humpty's Champions Cup,CAN,2017
Brendan Bottcher,Bradley Thiessen,Humpty's Champions Cup,CAN,2017
Brendan Bottcher,Karrick Martin,Humpty's Champions Cup,CAN,2017
Kurt Balderston,Kurt Balderston (Skip),Humpty's Champions Cup,CAN,2017
Kurt Balderston,Karsten Sturmay,Humpty's Champions Cup,CAN,2017
Kurt Balderston,Rob Bucholz,Humpty's Champions Cup,CAN,2017
Kurt Balderston,Del Shaughnessy,Humpty's Champions Cup,CAN,2017
Glenn Howard,Glenn Howard (Skip),Humpty's Champions Cup,CAN,2017
Glenn Howard,Adam Spencer,Humpty's Champions Cup,CAN,2017
Glenn Howard,David Mathers,Humpty's Champions Cup,CAN,2017
Glenn Howard,Scott Howard (Skip),Humpty's Champions Cup,CAN,2017
Mike McEwen,Mike McEwen (Skip),Humpty's Champions Cup,CAN,2017
Mike McEwen,B.J. Neufeld,Humpty's Champions Cup,CAN,2017
Mike McEwen,Matt Wozniak,Humpty's Champions Cup,CAN,2017
Mike McEwen,Denni Neufeld,Humpty's Champions Cup,CAN,2017
Kevin Koe,Kevin Koe (Skip),Humpty's Champions Cup,CAN,2017
Kevin Koe,Marc Kennedy,Humpty's Champions Cup,CAN,2017
Kevin Koe,Brent Laing,Humpty's Champions Cup,CAN,2017
Kevin Koe,Ben Hebert,Humpty's Champions Cup,CAN,2017
Tyler Tardi,Tyler Tardi (Skip),Humpty's Champions Cup,CAN,2017
Tyler Tardi,Sterling Middleton,Humpty's Champions Cup,CAN,2017
Tyler Tardi,Jacques Gauthier,Humpty's Champions Cup,CAN,2017
Tyler Tardi,Jordan Tardi (Skip),Humpty's Champions Cup,CAN,2017
Brad Gushue,Brad Gushue (Skip),Humpty's Champions Cup,CAN,2017
Brad Gushue,Mark Nichols,Humpty's Champions Cup,CAN,2017
Brad Gushue,Brett Gallant,Humpty's Champions Cup,CAN,2017
Brad Gushue,Geoff Walker,Humpty's Champions Cup,CAN,2017
Niklas Edin,Niklas Edin (Skip),Humpty's Champions Cup,SWE,2017
Niklas Edin,Oskar Eriksson,Humpty's Champions Cup,SWE,2017
Niklas Edin,Rasmus Wrana,Humpty's Champions Cup,SWE,2017
Niklas Edin,Christoffer Sundgren,Humpty's Champions Cup,SWE,2017
Jason Gunnlaugson,Jason Gunnlaugson (Skip),Humpty's Champions Cup,CAN,2017
Jason Gunnlaugson,Alex Forrest,Humpty's Champions Cup,CAN,2017
Jason Gunnlaugson,Matt Dunstone,Humpty's Champions Cup,CAN,2017
Jason Gunnlaugson,Connor Njegovan,Humpty's Champions Cup,CAN,2017
Reid Carruthers,Reid Carruthers (Skip),Humpty's Champions Cup,CAN,2017
Reid Carruthers,John Morris,Humpty's Champions Cup,CAN,2017
Reid Carruthers,Derek Samagalski,Humpty's Champions Cup,CAN,2017
Reid Carruthers,Colin Hodgson,Humpty's Champions Cup,CAN,2017
Marc Pfister,Marc Pfister (Skip),Humpty's Champions Cup,SUI,2017
Marc Pfister,Dominik Maerki,Humpty's Champions Cup,SUI,2017
Marc Pfister,Raphael Maerki,Humpty's Champions Cup,SUI,2017
Marc Pfister,Simon Gempeler,Humpty's Champions Cup,SUI,2017
